build_id,agent_id,cpu_utilisation,memory_utilisation,busy_percentage,available_agents
BUILD-0214,agent-east-03,62.5,60.6,77.1,3
BUILD-0215,agent-east-02,49.3,72.5,60.5,4
BUILD-0216,agent-east-04,81.2,78.4,98.2,0
BUILD-0217,agent-west-05,55.6,44.5,65.2,5
BUILD-0218,agent-west-03,77.9,60.4,64.5,3
BUILD-0219,agent-west-03,45.0,49.0,62.7,1
BUILD-0220,agent-east-01,71.8,50.6,65.8,2
BUILD-0221,agent-central-01,75.7,51.4,75.8,1
BUILD-0222,agent-west-01,56.1,61.3,75.1,4
BUILD-0223,agent-east-02,76.2,70.5,91.9,0
BUILD-0224,agent-central-02,59.4,46.1,61.8,3
BUILD-0225,agent-east-03,62.4,55.2,56.6,2
BUILD-0226,agent-east-01,63.6,53.3,50.0,6
BUILD-0227,agent-central-01,44.1,41.6,52.0,5
BUILD-0228,agent-west-02,56.5,54.5,63.5,3
BUILD-0229,agent-east-04,88.3,93.4,94.7,1
BUILD-0230,agent-central-03,41.4,40.8,65.6,2
BUILD-0231,agent-west-02,80.8,70.9,99.4,0
BUILD-0232,agent-central-03,41.3,51.0,68.9,4
BUILD-0233,agent-east-01,73.0,71.8,92.5,0
BUILD-0234,agent-west-01,63.5,44.1,48.9,2
BUILD-0235,agent-east-03,77.4,68.3,96.6,0
BUILD-0236,agent-central-03,72.7,56.4,79.9,1
BUILD-0237,agent-central-01,47.2,60.0,69.9,3
BUILD-0238,agent-east-03,71.9,73.4,95.2,0
BUILD-0239,agent-central-03,55.3,50.4,46.2,4
BUILD-0240,agent-west-01,63.8,74.9,77.5,2
BUILD-0241,agent-west-04,95.9,85.7,89.6,0
BUILD-0242,agent-west-05,70.9,69.8,79.7,4
BUILD-0243,agent-east-02,45.3,41.1,67.9,2
BUILD-0244,agent-central-01,62.0,53.8,64.5,3
BUILD-0245,agent-east-02,58.3,62.3,62.0,5
BUILD-0246,agent-east-02,72.2,78.4,92.6,0
BUILD-0247,agent-east-03,48.5,63.6,56.9,3
BUILD-0248,agent-central-01,75.7,64.1,68.1,4
BUILD-0249,agent-central-01,65.3,60.5,60.6,3
BUILD-0250,agent-central-02,75.4,77.9,98.7,0
BUILD-0251,agent-central-03,49.8,72.8,72.8,2
BUILD-0252,agent-east-04,58.6,63.3,64.9,1
BUILD-0253,agent-central-01,62.7,48.3,67.3,4
BUILD-0254,agent-central-02,87.0,93.6,90.8,1
BUILD-0255,agent-west-01,76.9,64.7,77.2,4
BUILD-0256,agent-west-04,83.8,68.5,96.8,0
BUILD-0257,agent-central-03,48.2,66.3,65.6,2
BUILD-0258,agent-central-03,74.5,54.1,71.2,1
BUILD-0259,agent-east-04,76.4,78.6,97.7,0
BUILD-0260,agent-east-03,72.7,72.4,91.4,0
BUILD-0261,agent-east-04,78.6,72.7,99.4,0
BUILD-0262,agent-central-03,74.5,65.8,100.0,0
BUILD-0263,agent-east-01,65.9,68.6,58.8,2
BUILD-0264,agent-central-02,69.5,54.5,56.9,2
BUILD-0265,agent-central-03,38.5,52.4,66.6,3
BUILD-0266,agent-west-03,63.3,60.3,80.0,1
BUILD-0267,agent-east-02,39.7,46.8,57.2,3
BUILD-0268,agent-central-03,67.2,55.5,68.3,6
BUILD-0269,agent-east-03,49.3,48.4,66.7,5
BUILD-0270,agent-east-02,38.2,58.4,68.5,5
BUILD-0271,agent-east-01,49.5,71.8,67.4,2
BUILD-0272,agent-east-02,74.2,76.0,97.4,0
BUILD-0273,agent-east-02,45.4,68.5,80.6,2
BUILD-0274,agent-east-01,45.0,65.6,65.4,3
BUILD-0275,agent-east-03,75.5,65.8,93.8,0
BUILD-0276,agent-central-02,54.1,64.0,50.7,3
BUILD-0277,agent-east-04,67.3,62.1,50.1,5
BUILD-0278,agent-east-03,89.6,85.7,97.6,0
BUILD-0279,agent-central-03,76.6,65.3,59.3,3
BUILD-0280,agent-west-02,49.8,64.4,59.4,2
BUILD-0281,agent-central-01,90.5,88.6,94.7,0
BUILD-0282,agent-central-01,39.9,61.3,55.0,4
BUILD-0283,agent-east-03,86.1,92.0,91.0,0
BUILD-0284,agent-central-01,50.6,56.3,69.1,5
BUILD-0285,agent-central-01,67.2,60.5,55.1,6
BUILD-0286,agent-west-05,37.5,44.8,62.0,2
BUILD-0287,agent-west-03,75.1,50.9,59.2,2
BUILD-0288,agent-west-05,57.0,70.9,79.0,3
BUILD-0289,agent-central-03,70.6,69.2,56.1,1
BUILD-0290,agent-west-05,46.6,42.3,67.8,4
BUILD-0291,agent-east-02,77.6,75.6,93.7,0
BUILD-0292,agent-east-02,57.7,60.8,74.9,4
BUILD-0293,agent-central-02,48.0,57.4,71.4,3
BUILD-0294,agent-east-03,66.4,64.7,58.8,3
BUILD-0295,agent-east-04,65.0,57.2,63.2,1
BUILD-0296,agent-central-02,47.7,47.9,55.2,5
BUILD-0297,agent-east-02,57.9,61.9,81.2,3
BUILD-0298,agent-east-01,45.3,42.1,63.6,4
BUILD-0299,agent-east-03,53.9,60.2,47.7,3
BUILD-0300,agent-central-01,69.5,50.6,77.8,1
BUILD-0301,agent-east-04,51.0,48.5,74.0,2
BUILD-0302,agent-central-02,94.1,87.8,94.6,1
BUILD-0303,agent-east-01,44.2,53.8,62.4,2
BUILD-0304,agent-west-01,62.3,61.9,57.4,1
BUILD-0305,agent-east-02,95.8,86.6,93.2,1
BUILD-0306,agent-east-01,71.4,77.3,92.4,0
BUILD-0307,agent-west-04,75.3,50.8,59.3,3
BUILD-0308,agent-east-03,62.0,75.2,77.4,2
BUILD-0309,agent-central-02,65.7,73.4,81.3,2
BUILD-0310,agent-central-01,51.3,72.1,76.1,3
BUILD-0311,agent-east-02,79.7,66.3,94.7,0
BUILD-0312,agent-west-02,82.0,75.6,98.1,0
BUILD-0313,agent-east-03,89.5,94.6,94.7,1
BUILD-0314,agent-east-03,84.9,78.9,90.4,0
BUILD-0315,agent-west-04,61.8,55.6,79.1,2
BUILD-0316,agent-west-05,75.6,78.9,91.1,0
BUILD-0317,agent-east-04,46.6,66.0,63.7,1
BUILD-0318,agent-central-01,55.2,67.2,58.5,1
BUILD-0319,agent-central-02,62.4,66.1,57.3,4
BUILD-0320,agent-east-03,50.3,58.0,66.9,4
BUILD-0321,agent-central-01,83.8,77.2,92.1,0
BUILD-0322,agent-central-03,54.9,52.2,61.7,6
BUILD-0323,agent-central-02,63.3,53.5,47.3,5
BUILD-0324,agent-central-01,63.0,50.8,56.2,5
BUILD-0325,agent-central-01,59.4,52.5,74.6,4
BUILD-0326,agent-central-03,93.6,86.1,92.6,1
BUILD-0327,agent-east-01,74.0,55.5,59.1,1
BUILD-0328,agent-west-04,96.6,89.8,92.6,0
BUILD-0329,agent-west-03,61.5,50.3,56.1,5
BUILD-0330,agent-west-01,74.8,49.6,72.1,3
BUILD-0331,agent-central-03,82.2,74.7,97.8,0
BUILD-0332,agent-east-04,74.6,71.3,95.1,0
BUILD-0333,agent-west-05,72.9,54.5,63.1,2
BUILD-0334,agent-central-01,70.7,72.4,70.8,4
BUILD-0335,agent-central-03,87.5,94.4,89.2,1
BUILD-0336,agent-east-01,63.9,63.8,79.3,4
BUILD-0337,agent-west-02,76.6,69.2,90.9,0
BUILD-0338,agent-central-03,51.8,71.2,77.7,4
BUILD-0339,agent-west-03,48.8,50.8,59.5,2
BUILD-0340,agent-east-02,61.3,69.1,65.4,1
BUILD-0341,agent-east-04,39.7,53.5,49.5,3
BUILD-0342,agent-west-04,54.3,52.8,46.2,6
BUILD-0343,agent-east-04,79.9,69.8,92.1,0
BUILD-0344,agent-east-01,78.1,78.4,98.2,0
BUILD-0345,agent-central-02,55.0,68.1,61.3,4
BUILD-0346,agent-east-02,42.5,53.1,66.1,3
BUILD-0347,agent-east-04,42.4,46.9,56.3,5
BUILD-0348,agent-east-03,49.3,40.6,66.5,4
BUILD-0349,agent-east-02,94.5,91.2,91.2,1
BUILD-0350,agent-east-02,51.4,64.0,72.2,3
BUILD-0351,agent-central-01,60.6,43.7,53.3,4
BUILD-0352,agent-east-02,54.8,48.3,60.6,4
BUILD-0353,agent-east-02,66.4,48.3,65.0,3
BUILD-0354,agent-east-03,40.8,61.2,51.6,3
BUILD-0355,agent-east-01,67.9,62.0,68.7,2
BUILD-0356,agent-east-02,55.8,47.0,48.4,6
BUILD-0357,agent-west-01,77.9,72.2,99.6,0
BUILD-0358,agent-east-01,53.2,43.4,47.3,5
BUILD-0359,agent-east-04,83.5,69.4,95.0,0
BUILD-0360,agent-central-01,44.1,57.6,71.9,6
BUILD-0361,agent-east-03,64.4,63.5,67.7,4
BUILD-0362,agent-west-02,66.7,57.9,61.1,4
BUILD-0363,agent-west-05,53.8,51.3,69.2,2
BUILD-0364,agent-east-01,55.8,73.5,65.6,1
BUILD-0365,agent-central-03,45.2,45.1,64.4,5
BUILD-0366,agent-east-04,56.3,63.0,54.4,4
BUILD-0367,agent-central-02,52.7,56.7,46.8,3
BUILD-0368,agent-central-02,47.6,58.6,68.1,5
BUILD-0369,agent-east-02,49.1,68.8,59.5,1
BUILD-0370,agent-east-03,41.7,46.2,69.5,3
BUILD-0371,agent-east-01,49.0,54.0,64.6,2
BUILD-0372,agent-central-01,63.8,55.1,57.6,3
BUILD-0373,agent-central-02,42.7,55.4,69.2,4
BUILD-0374,agent-central-03,64.0,43.4,53.6,2
BUILD-0375,agent-west-03,77.8,67.8,96.3,0
BUILD-0376,agent-west-02,49.0,55.1,53.2,6
BUILD-0377,agent-west-03,57.6,71.9,75.5,3
BUILD-0378,agent-central-02,75.5,74.3,81.2,3
BUILD-0379,agent-central-02,75.4,58.1,74.1,1
BUILD-0380,agent-central-03,55.0,75.1,72.8,4
BUILD-0381,agent-east-01,38.2,59.3,56.3,5
BUILD-0382,agent-east-02,61.7,44.8,71.5,5
BUILD-0383,agent-central-03,59.8,40.2,60.7,2
BUILD-0384,agent-east-04,75.4,71.0,96.1,0
BUILD-0385,agent-west-01,59.9,67.2,78.5,4
BUILD-0386,agent-east-01,77.1,74.9,97.0,0
BUILD-0387,agent-central-03,49.7,42.9,62.9,3
BUILD-0388,agent-east-01,75.5,65.7,68.3,3
BUILD-0389,agent-west-01,75.9,68.8,58.1,3
BUILD-0390,agent-west-05,80.0,73.9,91.1,0
BUILD-0391,agent-central-02,62.3,40.9,53.6,6
BUILD-0392,agent-east-02,54.9,70.8,79.6,2
BUILD-0393,agent-central-02,55.7,70.2,78.4,1
BUILD-0394,agent-central-03,47.4,64.6,63.3,3
BUILD-0395,agent-east-02,96.2,89.2,95.0,1
BUILD-0396,agent-east-01,45.7,57.8,68.3,6
BUILD-0397,agent-central-02,49.3,53.8,59.4,3
BUILD-0398,agent-east-03,66.9,49.3,56.0,2
BUILD-0399,agent-west-02,58.2,50.3,61.9,4
BUILD-0400,agent-central-03,84.5,68.7,92.7,0
BUILD-0401,agent-east-01,73.9,64.5,76.8,1
BUILD-0402,agent-east-03,72.1,73.5,92.7,0
BUILD-0403,agent-west-02,52.5,65.8,57.3,3
BUILD-0404,agent-west-01,57.3,63.3,48.7,5
BUILD-0405,agent-central-02,37.5,61.0,58.9,2
BUILD-0406,agent-central-02,90.4,91.8,91.6,1
BUILD-0407,agent-east-04,74.4,63.0,62.3,4
BUILD-0408,agent-west-02,61.1,61.9,73.4,2
BUILD-0409,agent-west-05,76.4,74.0,90.1,0
BUILD-0410,agent-east-01,72.7,79.9,95.9,0
BUILD-0411,agent-east-02,77.3,54.2,66.5,1
BUILD-0412,agent-central-02,50.6,62.7,47.7,3
BUILD-0413,agent-west-03,77.0,72.8,77.1,2
BUILD-0414,agent-west-05,73.2,73.4,81.3,3
BUILD-0415,agent-central-02,48.1,57.1,68.5,2
BUILD-0416,agent-central-03,77.9,69.6,92.2,0
BUILD-0417,agent-central-01,67.7,45.2,48.1,4
BUILD-0418,agent-central-02,44.2,46.4,45.4,6
BUILD-0419,agent-central-03,59.0,49.2,69.4,2
BUILD-0420,agent-east-02,50.0,56.1,55.9,6
BUILD-0421,agent-central-03,35.3,59.8,59.6,4
BUILD-0422,agent-east-04,72.6,52.0,79.6,1
BUILD-0423,agent-central-02,47.5,57.3,64.7,1
BUILD-0424,agent-central-02,71.0,72.1,81.4,2
BUILD-0425,agent-east-04,76.2,73.8,65.3,4
BUILD-0426,agent-central-02,38.6,62.8,54.7,3
BUILD-0427,agent-central-01,63.7,40.8,54.9,2
BUILD-0428,agent-east-02,70.5,76.3,95.0,0
BUILD-0429,agent-east-04,73.3,67.8,97.5,0
BUILD-0430,agent-central-03,54.3,63.2,56.8,1
BUILD-0431,agent-east-01,51.5,47.9,55.5,4
BUILD-0432,agent-central-02,76.4,54.5,60.8,2
BUILD-0433,agent-west-05,86.2,93.4,91.4,0
BUILD-0434,agent-east-02,91.0,94.4,98.1,0
BUILD-0435,agent-east-03,47.4,54.3,68.1,3
BUILD-0436,agent-west-01,46.3,52.4,67.7,2
BUILD-0437,agent-central-01,96.4,86.0,97.9,1
BUILD-0438,agent-east-04,72.2,68.6,77.3,3
BUILD-0439,agent-east-02,51.2,67.5,75.9,4
BUILD-0440,agent-east-01,57.3,63.5,59.4,4
BUILD-0441,agent-east-03,78.2,74.5,95.0,0
BUILD-0442,agent-central-01,35.3,49.4,51.0,4
BUILD-0443,agent-west-03,56.1,74.9,81.8,2
BUILD-0444,agent-west-05,65.8,70.0,77.8,3
BUILD-0445,agent-east-02,39.3,51.3,62.1,4
BUILD-0446,agent-east-03,54.7,42.7,52.6,3
BUILD-0447,agent-east-02,74.8,66.5,72.0,1
BUILD-0448,agent-west-04,87.1,92.8,95.2,1
BUILD-0449,agent-central-01,38.5,49.6,50.4,4
BUILD-0450,agent-west-04,37.4,56.4,55.0,4
BUILD-0451,agent-east-03,63.4,41.9,69.1,5
BUILD-0452,agent-west-03,35.7,40.4,66.1,6
BUILD-0453,agent-west-02,58.0,67.5,67.3,1
BUILD-0454,agent-west-01,61.9,53.4,45.1,2
BUILD-0455,agent-west-01,54.3,61.3,69.2,5
BUILD-0456,agent-east-04,71.2,79.6,90.6,0
BUILD-0457,agent-central-02,39.3,62.9,55.4,5
BUILD-0458,agent-central-01,49.9,46.6,70.0,2
BUILD-0459,agent-central-02,65.0,62.5,57.9,1
BUILD-0460,agent-east-02,41.8,59.6,54.4,4
BUILD-0461,agent-east-01,49.1,40.5,71.3,2
BUILD-0462,agent-central-03,71.5,57.4,68.2,3
BUILD-0463,agent-east-03,68.0,60.1,60.6,1
BUILD-0464,agent-west-01,95.9,88.8,89.2,0
BUILD-0465,agent-west-04,46.8,56.6,66.6,1
BUILD-0466,agent-east-03,82.2,74.6,94.2,0
BUILD-0467,agent-west-05,72.5,50.7,69.2,3
BUILD-0468,agent-west-03,61.9,51.6,69.7,3
BUILD-0469,agent-west-02,73.5,51.4,70.8,1
BUILD-0470,agent-central-01,64.0,53.0,51.7,2
BUILD-0471,agent-east-04,41.1,60.5,62.8,3
BUILD-0472,agent-central-02,66.3,73.0,71.7,1
BUILD-0473,agent-west-04,53.6,51.5,68.2,3
BUILD-0474,agent-west-03,87.3,95.3,93.2,0
BUILD-0475,agent-east-04,78.6,68.0,92.5,0
BUILD-0476,agent-central-01,78.5,78.0,93.4,0
BUILD-0477,agent-central-01,52.6,64.8,63.9,2
BUILD-0478,agent-west-04,83.8,68.9,90.3,0
BUILD-0479,agent-central-02,49.3,68.3,57.8,4
BUILD-0480,agent-east-04,45.6,61.5,65.5,4
