build_id,actual_bottleneck,severity
BUILD-0100,QUEUE_CONGESTION,MEDIUM
BUILD-0101,QUEUE_CONGESTION,HIGH
BUILD-0102,NORMAL,LOW
BUILD-0103,QUEUE_CONGESTION,CRITICAL
BUILD-0104,NORMAL,LOW
BUILD-0105,SLOW_TASK,HIGH
BUILD-0106,NORMAL,LOW
BUILD-0107,CACHE_PROBLEM,MEDIUM
BUILD-0108,NORMAL,LOW
BUILD-0109,CACHE_PROBLEM,HIGH
BUILD-0110,NORMAL,LOW
BUILD-0111,NORMAL,LOW
BUILD-0112,RESOURCE_BOTTLENECK,HIGH
BUILD-0113,CACHE_PROBLEM,MEDIUM
BUILD-0114,QUEUE_CONGESTION,HIGH
BUILD-0115,NORMAL,LOW
BUILD-0116,NORMAL,LOW
BUILD-0117,CACHE_PROBLEM,MEDIUM
BUILD-0118,QUEUE_CONGESTION,CRITICAL
BUILD-0119,NORMAL,LOW
BUILD-0120,NORMAL,LOW
BUILD-0121,CACHE_PROBLEM,MEDIUM
BUILD-0122,PARALLELISATION_PROBLEM,HIGH
BUILD-0123,QUEUE_CONGESTION,HIGH
BUILD-0124,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0125,QUEUE_CONGESTION,HIGH
BUILD-0126,NORMAL,LOW
BUILD-0127,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0128,CACHE_PROBLEM,HIGH
BUILD-0129,CACHE_PROBLEM,HIGH
BUILD-0130,NORMAL,LOW
BUILD-0131,SLOW_TASK,HIGH
BUILD-0132,QUEUE_CONGESTION,MEDIUM
BUILD-0133,QUEUE_CONGESTION,MEDIUM
BUILD-0134,CACHE_PROBLEM,MEDIUM
BUILD-0135,NORMAL,LOW
BUILD-0136,NORMAL,LOW
BUILD-0137,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0138,QUEUE_CONGESTION,CRITICAL
BUILD-0139,QUEUE_CONGESTION,CRITICAL
BUILD-0140,NORMAL,LOW
BUILD-0141,CACHE_PROBLEM,HIGH
BUILD-0142,NORMAL,LOW
BUILD-0143,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0144,QUEUE_CONGESTION,HIGH
BUILD-0145,NORMAL,LOW
BUILD-0146,SLOW_TASK,MEDIUM
BUILD-0147,QUEUE_CONGESTION,CRITICAL
BUILD-0148,NORMAL,LOW
BUILD-0149,SLOW_TASK,HIGH
BUILD-0150,CACHE_PROBLEM,MEDIUM
BUILD-0151,NORMAL,LOW
BUILD-0152,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0153,RESOURCE_BOTTLENECK,HIGH
BUILD-0154,PARALLELISATION_PROBLEM,HIGH
BUILD-0155,QUEUE_CONGESTION,CRITICAL
BUILD-0156,SLOW_TASK,CRITICAL
BUILD-0157,SLOW_TASK,CRITICAL
BUILD-0158,SLOW_TASK,HIGH
BUILD-0159,QUEUE_CONGESTION,MEDIUM
BUILD-0160,NORMAL,LOW
BUILD-0161,RESOURCE_BOTTLENECK,HIGH
BUILD-0162,QUEUE_CONGESTION,HIGH
BUILD-0163,PARALLELISATION_PROBLEM,HIGH
BUILD-0164,QUEUE_CONGESTION,MEDIUM
BUILD-0165,SLOW_TASK,HIGH
BUILD-0166,NORMAL,LOW
BUILD-0167,PARALLELISATION_PROBLEM,HIGH
BUILD-0168,CACHE_PROBLEM,MEDIUM
BUILD-0169,SLOW_TASK,HIGH
BUILD-0170,SLOW_TASK,HIGH
BUILD-0171,NORMAL,LOW
BUILD-0172,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0173,NORMAL,LOW
BUILD-0174,NORMAL,LOW
BUILD-0175,QUEUE_CONGESTION,CRITICAL
BUILD-0176,NORMAL,LOW
BUILD-0177,RESOURCE_BOTTLENECK,HIGH
BUILD-0178,QUEUE_CONGESTION,HIGH
BUILD-0179,NORMAL,LOW
BUILD-0180,NORMAL,LOW
BUILD-0181,QUEUE_CONGESTION,MEDIUM
BUILD-0182,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0183,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0184,NORMAL,LOW
BUILD-0185,SLOW_TASK,MEDIUM
BUILD-0186,PARALLELISATION_PROBLEM,HIGH
BUILD-0187,NORMAL,LOW
BUILD-0188,QUEUE_CONGESTION,CRITICAL
BUILD-0189,NORMAL,LOW
BUILD-0190,CACHE_PROBLEM,HIGH
BUILD-0191,QUEUE_CONGESTION,CRITICAL
BUILD-0192,CACHE_PROBLEM,MEDIUM
BUILD-0193,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0194,RESOURCE_BOTTLENECK,HIGH
BUILD-0195,RESOURCE_BOTTLENECK,HIGH
BUILD-0196,QUEUE_CONGESTION,HIGH
BUILD-0197,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0198,QUEUE_CONGESTION,CRITICAL
BUILD-0199,SLOW_TASK,HIGH
BUILD-0200,NORMAL,LOW
BUILD-0201,NORMAL,LOW
BUILD-0202,PARALLELISATION_PROBLEM,HIGH
BUILD-0203,NORMAL,LOW
BUILD-0204,RESOURCE_BOTTLENECK,HIGH
BUILD-0205,PARALLELISATION_PROBLEM,HIGH
BUILD-0206,NORMAL,LOW
BUILD-0207,CACHE_PROBLEM,HIGH
BUILD-0208,NORMAL,LOW
BUILD-0209,QUEUE_CONGESTION,CRITICAL
BUILD-0210,RESOURCE_BOTTLENECK,HIGH
BUILD-0211,SLOW_TASK,MEDIUM
BUILD-0212,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0213,PARALLELISATION_PROBLEM,HIGH
BUILD-0214,SLOW_TASK,HIGH
BUILD-0215,SLOW_TASK,HIGH
BUILD-0216,QUEUE_CONGESTION,HIGH
BUILD-0217,NORMAL,LOW
BUILD-0218,PARALLELISATION_PROBLEM,HIGH
BUILD-0219,PARALLELISATION_PROBLEM,HIGH
BUILD-0220,CACHE_PROBLEM,MEDIUM
BUILD-0221,CACHE_PROBLEM,HIGH
BUILD-0222,CACHE_PROBLEM,MEDIUM
BUILD-0223,QUEUE_CONGESTION,HIGH
BUILD-0224,NORMAL,LOW
BUILD-0225,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0226,NORMAL,LOW
BUILD-0227,NORMAL,LOW
BUILD-0228,NORMAL,LOW
BUILD-0229,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0230,NORMAL,LOW
BUILD-0231,QUEUE_CONGESTION,MEDIUM
BUILD-0232,NORMAL,LOW
BUILD-0233,QUEUE_CONGESTION,CRITICAL
BUILD-0234,NORMAL,LOW
BUILD-0235,QUEUE_CONGESTION,MEDIUM
BUILD-0236,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0237,PARALLELISATION_PROBLEM,HIGH
BUILD-0238,QUEUE_CONGESTION,HIGH
BUILD-0239,NORMAL,LOW
BUILD-0240,PARALLELISATION_PROBLEM,HIGH
BUILD-0241,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0242,SLOW_TASK,HIGH
BUILD-0243,NORMAL,LOW
BUILD-0244,CACHE_PROBLEM,HIGH
BUILD-0245,NORMAL,LOW
BUILD-0246,QUEUE_CONGESTION,HIGH
BUILD-0247,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0248,PARALLELISATION_PROBLEM,HIGH
BUILD-0249,CACHE_PROBLEM,MEDIUM
BUILD-0250,QUEUE_CONGESTION,CRITICAL
BUILD-0251,CACHE_PROBLEM,MEDIUM
BUILD-0252,SLOW_TASK,HIGH
BUILD-0253,CACHE_PROBLEM,HIGH
BUILD-0254,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0255,PARALLELISATION_PROBLEM,HIGH
BUILD-0256,QUEUE_CONGESTION,MEDIUM
BUILD-0257,SLOW_TASK,MEDIUM
BUILD-0258,CACHE_PROBLEM,HIGH
BUILD-0259,QUEUE_CONGESTION,CRITICAL
BUILD-0260,QUEUE_CONGESTION,HIGH
BUILD-0261,QUEUE_CONGESTION,MEDIUM
BUILD-0262,QUEUE_CONGESTION,CRITICAL
BUILD-0263,SLOW_TASK,CRITICAL
BUILD-0264,CACHE_PROBLEM,HIGH
BUILD-0265,NORMAL,LOW
BUILD-0266,SLOW_TASK,CRITICAL
BUILD-0267,NORMAL,LOW
BUILD-0268,NORMAL,LOW
BUILD-0269,NORMAL,LOW
BUILD-0270,NORMAL,LOW
BUILD-0271,SLOW_TASK,MEDIUM
BUILD-0272,QUEUE_CONGESTION,HIGH
BUILD-0273,SLOW_TASK,HIGH
BUILD-0274,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0275,QUEUE_CONGESTION,HIGH
BUILD-0276,NORMAL,LOW
BUILD-0277,NORMAL,LOW
BUILD-0278,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0279,CACHE_PROBLEM,HIGH
BUILD-0280,NORMAL,LOW
BUILD-0281,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0282,NORMAL,LOW
BUILD-0283,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0284,NORMAL,LOW
BUILD-0285,NORMAL,LOW
BUILD-0286,NORMAL,LOW
BUILD-0287,SLOW_TASK,CRITICAL
BUILD-0288,PARALLELISATION_PROBLEM,HIGH
BUILD-0289,SLOW_TASK,HIGH
BUILD-0290,NORMAL,LOW
BUILD-0291,QUEUE_CONGESTION,MEDIUM
BUILD-0292,SLOW_TASK,CRITICAL
BUILD-0293,NORMAL,LOW
BUILD-0294,NORMAL,LOW
BUILD-0295,PARALLELISATION_PROBLEM,HIGH
BUILD-0296,NORMAL,LOW
BUILD-0297,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0298,NORMAL,LOW
BUILD-0299,NORMAL,LOW
BUILD-0300,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0301,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0302,RESOURCE_BOTTLENECK,HIGH
BUILD-0303,NORMAL,LOW
BUILD-0304,CACHE_PROBLEM,MEDIUM
BUILD-0305,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0306,QUEUE_CONGESTION,CRITICAL
BUILD-0307,PARALLELISATION_PROBLEM,HIGH
BUILD-0308,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0309,CACHE_PROBLEM,HIGH
BUILD-0310,CACHE_PROBLEM,MEDIUM
BUILD-0311,QUEUE_CONGESTION,CRITICAL
BUILD-0312,QUEUE_CONGESTION,HIGH
BUILD-0313,RESOURCE_BOTTLENECK,HIGH
BUILD-0314,QUEUE_CONGESTION,HIGH
BUILD-0315,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0316,QUEUE_CONGESTION,MEDIUM
BUILD-0317,SLOW_TASK,HIGH
BUILD-0318,CACHE_PROBLEM,MEDIUM
BUILD-0319,SLOW_TASK,HIGH
BUILD-0320,NORMAL,LOW
BUILD-0321,QUEUE_CONGESTION,HIGH
BUILD-0322,NORMAL,LOW
BUILD-0323,NORMAL,LOW
BUILD-0324,NORMAL,LOW
BUILD-0325,CACHE_PROBLEM,HIGH
BUILD-0326,RESOURCE_BOTTLENECK,HIGH
BUILD-0327,CACHE_PROBLEM,MEDIUM
BUILD-0328,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0329,NORMAL,LOW
BUILD-0330,PARALLELISATION_PROBLEM,HIGH
BUILD-0331,QUEUE_CONGESTION,CRITICAL
BUILD-0332,QUEUE_CONGESTION,HIGH
BUILD-0333,CACHE_PROBLEM,MEDIUM
BUILD-0334,CACHE_PROBLEM,HIGH
BUILD-0335,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0336,CACHE_PROBLEM,HIGH
BUILD-0337,QUEUE_CONGESTION,HIGH
BUILD-0338,PARALLELISATION_PROBLEM,HIGH
BUILD-0339,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0340,CACHE_PROBLEM,MEDIUM
BUILD-0341,NORMAL,LOW
BUILD-0342,NORMAL,LOW
BUILD-0343,QUEUE_CONGESTION,CRITICAL
BUILD-0344,QUEUE_CONGESTION,MEDIUM
BUILD-0345,SLOW_TASK,HIGH
BUILD-0346,NORMAL,LOW
BUILD-0347,NORMAL,LOW
BUILD-0348,NORMAL,LOW
BUILD-0349,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0350,SLOW_TASK,CRITICAL
BUILD-0351,NORMAL,LOW
BUILD-0352,NORMAL,LOW
BUILD-0353,NORMAL,LOW
BUILD-0354,NORMAL,LOW
BUILD-0355,NORMAL,LOW
BUILD-0356,NORMAL,LOW
BUILD-0357,QUEUE_CONGESTION,CRITICAL
BUILD-0358,NORMAL,LOW
BUILD-0359,QUEUE_CONGESTION,HIGH
BUILD-0360,NORMAL,LOW
BUILD-0361,SLOW_TASK,CRITICAL
BUILD-0362,PARALLELISATION_PROBLEM,HIGH
BUILD-0363,NORMAL,LOW
BUILD-0364,SLOW_TASK,HIGH
BUILD-0365,NORMAL,LOW
BUILD-0366,NORMAL,LOW
BUILD-0367,NORMAL,LOW
BUILD-0368,NORMAL,LOW
BUILD-0369,CACHE_PROBLEM,HIGH
BUILD-0370,NORMAL,LOW
BUILD-0371,CACHE_PROBLEM,MEDIUM
BUILD-0372,CACHE_PROBLEM,HIGH
BUILD-0373,NORMAL,LOW
BUILD-0374,NORMAL,LOW
BUILD-0375,QUEUE_CONGESTION,MEDIUM
BUILD-0376,NORMAL,LOW
BUILD-0377,SLOW_TASK,HIGH
BUILD-0378,CACHE_PROBLEM,MEDIUM
BUILD-0379,SLOW_TASK,CRITICAL
BUILD-0380,CACHE_PROBLEM,HIGH
BUILD-0381,NORMAL,LOW
BUILD-0382,NORMAL,LOW
BUILD-0383,NORMAL,LOW
BUILD-0384,QUEUE_CONGESTION,CRITICAL
BUILD-0385,PARALLELISATION_PROBLEM,HIGH
BUILD-0386,QUEUE_CONGESTION,CRITICAL
BUILD-0387,NORMAL,LOW
BUILD-0388,PARALLELISATION_PROBLEM,HIGH
BUILD-0389,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0390,QUEUE_CONGESTION,HIGH
BUILD-0391,NORMAL,LOW
BUILD-0392,PARALLELISATION_PROBLEM,HIGH
BUILD-0393,PARALLELISATION_PROBLEM,HIGH
BUILD-0394,NORMAL,LOW
BUILD-0395,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0396,NORMAL,LOW
BUILD-0397,CACHE_PROBLEM,HIGH
BUILD-0398,CACHE_PROBLEM,HIGH
BUILD-0399,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0400,QUEUE_CONGESTION,CRITICAL
BUILD-0401,CACHE_PROBLEM,MEDIUM
BUILD-0402,QUEUE_CONGESTION,CRITICAL
BUILD-0403,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0404,NORMAL,LOW
BUILD-0405,NORMAL,LOW
BUILD-0406,RESOURCE_BOTTLENECK,HIGH
BUILD-0407,CACHE_PROBLEM,MEDIUM
BUILD-0408,CACHE_PROBLEM,MEDIUM
BUILD-0409,QUEUE_CONGESTION,HIGH
BUILD-0410,QUEUE_CONGESTION,MEDIUM
BUILD-0411,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0412,NORMAL,LOW
BUILD-0413,CACHE_PROBLEM,MEDIUM
BUILD-0414,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0415,NORMAL,LOW
BUILD-0416,QUEUE_CONGESTION,HIGH
BUILD-0417,NORMAL,LOW
BUILD-0418,NORMAL,LOW
BUILD-0419,NORMAL,LOW
BUILD-0420,NORMAL,LOW
BUILD-0421,NORMAL,LOW
BUILD-0422,SLOW_TASK,HIGH
BUILD-0423,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0424,CACHE_PROBLEM,HIGH
BUILD-0425,SLOW_TASK,MEDIUM
BUILD-0426,NORMAL,LOW
BUILD-0427,NORMAL,LOW
BUILD-0428,QUEUE_CONGESTION,HIGH
BUILD-0429,QUEUE_CONGESTION,CRITICAL
BUILD-0430,CACHE_PROBLEM,MEDIUM
BUILD-0431,NORMAL,LOW
BUILD-0432,CACHE_PROBLEM,HIGH
BUILD-0433,RESOURCE_BOTTLENECK,HIGH
BUILD-0434,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0435,NORMAL,LOW
BUILD-0436,CACHE_PROBLEM,HIGH
BUILD-0437,RESOURCE_BOTTLENECK,HIGH
BUILD-0438,PARALLELISATION_PROBLEM,HIGH
BUILD-0439,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0440,CACHE_PROBLEM,MEDIUM
BUILD-0441,QUEUE_CONGESTION,CRITICAL
BUILD-0442,NORMAL,LOW
BUILD-0443,SLOW_TASK,CRITICAL
BUILD-0444,PARALLELISATION_PROBLEM,HIGH
BUILD-0445,NORMAL,LOW
BUILD-0446,NORMAL,LOW
BUILD-0447,CACHE_PROBLEM,HIGH
BUILD-0448,RESOURCE_BOTTLENECK,HIGH
BUILD-0449,NORMAL,LOW
BUILD-0450,NORMAL,LOW
BUILD-0451,NORMAL,LOW
BUILD-0452,NORMAL,LOW
BUILD-0453,SLOW_TASK,HIGH
BUILD-0454,NORMAL,LOW
BUILD-0455,NORMAL,LOW
BUILD-0456,QUEUE_CONGESTION,CRITICAL
BUILD-0457,NORMAL,LOW
BUILD-0458,NORMAL,LOW
BUILD-0459,CACHE_PROBLEM,HIGH
BUILD-0460,NORMAL,LOW
BUILD-0461,NORMAL,LOW
BUILD-0462,CACHE_PROBLEM,HIGH
BUILD-0463,CACHE_PROBLEM,MEDIUM
BUILD-0464,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0465,PARALLELISATION_PROBLEM,HIGH
BUILD-0466,QUEUE_CONGESTION,HIGH
BUILD-0467,CACHE_PROBLEM,HIGH
BUILD-0468,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0469,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0470,NORMAL,LOW
BUILD-0471,NORMAL,LOW
BUILD-0472,CACHE_PROBLEM,MEDIUM
BUILD-0473,NORMAL,LOW
BUILD-0474,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0475,QUEUE_CONGESTION,HIGH
BUILD-0476,QUEUE_CONGESTION,HIGH
BUILD-0477,SLOW_TASK,HIGH
BUILD-0478,QUEUE_CONGESTION,MEDIUM
BUILD-0479,SLOW_TASK,MEDIUM
BUILD-0480,PARALLELISATION_PROBLEM,HIGH
BUILD-0481,NORMAL,LOW
BUILD-0482,NORMAL,LOW
BUILD-0483,CACHE_PROBLEM,MEDIUM
BUILD-0484,PARALLELISATION_PROBLEM,HIGH
BUILD-0485,CACHE_PROBLEM,HIGH
BUILD-0486,RESOURCE_BOTTLENECK,HIGH
BUILD-0487,NORMAL,LOW
BUILD-0488,SLOW_TASK,HIGH
BUILD-0489,QUEUE_CONGESTION,MEDIUM
BUILD-0490,NORMAL,LOW
BUILD-0491,NORMAL,LOW
BUILD-0492,CACHE_PROBLEM,HIGH
BUILD-0493,QUEUE_CONGESTION,HIGH
BUILD-0494,NORMAL,LOW
BUILD-0495,SLOW_TASK,CRITICAL
BUILD-0496,CACHE_PROBLEM,HIGH
BUILD-0497,CACHE_PROBLEM,MEDIUM
BUILD-0498,NORMAL,LOW
BUILD-0499,QUEUE_CONGESTION,HIGH
BUILD-0500,NORMAL,LOW
BUILD-0501,PARALLELISATION_PROBLEM,HIGH
BUILD-0502,NORMAL,LOW
BUILD-0503,NORMAL,LOW
BUILD-0504,SLOW_TASK,HIGH
BUILD-0505,QUEUE_CONGESTION,CRITICAL
BUILD-0506,NORMAL,LOW
BUILD-0507,QUEUE_CONGESTION,CRITICAL
BUILD-0508,CACHE_PROBLEM,HIGH
BUILD-0509,QUEUE_CONGESTION,HIGH
BUILD-0510,CACHE_PROBLEM,HIGH
BUILD-0511,NORMAL,LOW
BUILD-0512,RESOURCE_BOTTLENECK,HIGH
BUILD-0513,PARALLELISATION_PROBLEM,HIGH
BUILD-0514,QUEUE_CONGESTION,HIGH
BUILD-0515,SLOW_TASK,MEDIUM
BUILD-0516,SLOW_TASK,HIGH
BUILD-0517,PARALLELISATION_PROBLEM,HIGH
BUILD-0518,RESOURCE_BOTTLENECK,CRITICAL
BUILD-0519,SLOW_TASK,CRITICAL
BUILD-0520,NORMAL,LOW
BUILD-0521,SLOW_TASK,CRITICAL
BUILD-0522,CACHE_PROBLEM,HIGH
BUILD-0523,NORMAL,LOW
BUILD-0524,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0525,NORMAL,LOW
BUILD-0526,NORMAL,LOW
BUILD-0527,CACHE_PROBLEM,HIGH
BUILD-0528,PARALLELISATION_PROBLEM,HIGH
BUILD-0529,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0530,SLOW_TASK,MEDIUM
BUILD-0531,QUEUE_CONGESTION,CRITICAL
BUILD-0532,PARALLELISATION_PROBLEM,HIGH
BUILD-0533,QUEUE_CONGESTION,HIGH
BUILD-0534,RESOURCE_BOTTLENECK,HIGH
BUILD-0535,RESOURCE_BOTTLENECK,HIGH
BUILD-0536,CACHE_PROBLEM,MEDIUM
BUILD-0537,QUEUE_CONGESTION,MEDIUM
BUILD-0538,CACHE_PROBLEM,MEDIUM
BUILD-0539,NORMAL,LOW
BUILD-0540,CACHE_PROBLEM,MEDIUM
BUILD-0541,SLOW_TASK,HIGH
BUILD-0542,NORMAL,LOW
BUILD-0543,SLOW_TASK,CRITICAL
BUILD-0544,QUEUE_CONGESTION,HIGH
BUILD-0545,PARALLELISATION_PROBLEM,HIGH
BUILD-0546,CACHE_PROBLEM,HIGH
BUILD-0547,SLOW_TASK,CRITICAL
BUILD-0548,NORMAL,LOW
BUILD-0549,NORMAL,LOW
BUILD-0550,QUEUE_CONGESTION,MEDIUM
BUILD-0551,CACHE_PROBLEM,HIGH
BUILD-0552,PARALLELISATION_PROBLEM,MEDIUM
BUILD-0553,QUEUE_CONGESTION,CRITICAL
BUILD-0554,QUEUE_CONGESTION,MEDIUM
BUILD-0555,NORMAL,LOW
BUILD-0556,RESOURCE_BOTTLENECK,HIGH
BUILD-0557,NORMAL,LOW
BUILD-0558,SLOW_TASK,HIGH
BUILD-0559,PARALLELISATION_PROBLEM,HIGH
BUILD-0560,NORMAL,LOW
BUILD-0561,CACHE_PROBLEM,MEDIUM
BUILD-0562,PARALLELISATION_PROBLEM,HIGH
BUILD-0563,QUEUE_CONGESTION,HIGH
BUILD-0564,RESOURCE_BOTTLENECK,HIGH
BUILD-0565,CACHE_PROBLEM,HIGH
BUILD-0566,NORMAL,LOW
BUILD-0567,CACHE_PROBLEM,HIGH
BUILD-0568,QUEUE_CONGESTION,MEDIUM
BUILD-0569,RESOURCE_BOTTLENECK,HIGH
BUILD-0570,SLOW_TASK,HIGH
BUILD-0571,CACHE_PROBLEM,MEDIUM
BUILD-0572,RESOURCE_BOTTLENECK,MEDIUM
BUILD-0573,PARALLELISATION_PROBLEM,HIGH
BUILD-0574,NORMAL,LOW
BUILD-0575,CACHE_PROBLEM,HIGH
